machine;test_id;test_kind;particles;mpi_ranks;repeat;years;dt;mode;status;returncode;external_wall_seconds;output_dir;python;os_cpu_count
LAPTOP-C1CDPADH;benchmark_N1000_P1_R1;benchmark;1000;1;1;1000.0;25.0;benchmark;ok;0;5.513668;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P1_R2;benchmark;1000;1;2;1000.0;25.0;benchmark;ok;0;4.926268;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P1_R3;benchmark;1000;1;3;1000.0;25.0;benchmark;ok;0;6.110778;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R1;benchmark;1000;2;1;1000.0;25.0;benchmark;ok;0;3.412054;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R2;benchmark;1000;2;2;1000.0;25.0;benchmark;ok;0;2.956548;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R3;benchmark;1000;2;3;1000.0;25.0;benchmark;ok;0;2.708262;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R1;benchmark;1000;4;1;1000.0;25.0;benchmark;ok;0;2.073897;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R2;benchmark;1000;4;2;1000.0;25.0;benchmark;ok;0;2.094336;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R3;benchmark;1000;4;3;1000.0;25.0;benchmark;ok;0;2.063943;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P8_R1;benchmark;1000;8;1;1000.0;25.0;benchmark;ok;0;2.117571;results\LAPTOP-C1CDPADH\benchmark_N1000_P8_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P8_R2;benchmark;1000;8;2;1000.0;25.0;benchmark;ok;0;2.377572;results\LAPTOP-C1CDPADH\benchmark_N1000_P8_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P8_R3;benchmark;1000;8;3;1000.0;25.0;benchmark;ok;0;2.216175;results\LAPTOP-C1CDPADH\benchmark_N1000_P8_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R1;benchmark;2000;1;1;1000.0;25.0;benchmark;ok;0;17.037668;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R2;benchmark;2000;1;2;1000.0;25.0;benchmark;ok;0;16.522955;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R3;benchmark;2000;1;3;1000.0;25.0;benchmark;ok;0;16.674874;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R1;benchmark;2000;2;1;1000.0;25.0;benchmark;ok;0;10.719191;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R2;benchmark;2000;2;2;1000.0;25.0;benchmark;ok;0;10.184063;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R3;benchmark;2000;2;3;1000.0;25.0;benchmark;ok;0;7.759578;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R1;benchmark;2000;4;1;1000.0;25.0;benchmark;ok;0;6.144935;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R2;benchmark;2000;4;2;1000.0;25.0;benchmark;ok;0;6.340248;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R3;benchmark;2000;4;3;1000.0;25.0;benchmark;ok;0;6.274243;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P8_R1;benchmark;2000;8;1;1000.0;25.0;benchmark;ok;0;4.396572;results\LAPTOP-C1CDPADH\benchmark_N2000_P8_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P8_R2;benchmark;2000;8;2;1000.0;25.0;benchmark;ok;0;4.630294;results\LAPTOP-C1CDPADH\benchmark_N2000_P8_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P8_R3;benchmark;2000;8;3;1000.0;25.0;benchmark;ok;0;4.800422;results\LAPTOP-C1CDPADH\benchmark_N2000_P8_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N3000_P1_R1;benchmark;3000;1;1;1000.0;25.0;benchmark;ok;0;40.184218;results\LAPTOP-C1CDPADH\benchmark_N3000_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N3000_P1_R2;benchmark;3000;1;2;1000.0;25.0;benchmark;ok;0;39.052459;results\LAPTOP-C1CDPADH\benchmark_N3000_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N3000_P1_R3;benchmark;3000;1;3;1000.0;25.0;benchmark;ok;0;39.096874;results\LAPTOP-C1CDPADH\benchmark_N3000_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N3000_P2_R1;benchmark;3000;2;1;1000.0;25.0;benchmark;failed;1;1.096542;results\LAPTOP-C1CDPADH\benchmark_N3000_P2_R1;3.8.20;16
